report_code,report_date,fight_id,fight_name,encounter_id,fight_result,duration_seconds,fight_start_timestamp,difficulty,raid_size,player_name,player_id,warcraft_logs_source_id,class,spec,role,item_level,damage_done,damage_done_reduced,damage_per_second,damage_active_time_seconds,damage_active_time_percent,damage_taken,damage_taken_reduced,damage_taken_per_second,damage_taken_active_time_seconds,healing_done,healing_done_reduced,healing_per_second,overhealing,healing_active_time_seconds,healing_received,healing_received_reduced,healing_received_per_second,cast_count,casts_per_minute,death_count,interrupt_count,dispel_count,attempt_number,active_time_ms,active_time_seconds,active_time_percent,player_count
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Squalliiv,P-35a3ad6b0dfe25a8,94,Paladin,Protection,Tank,311.0,13015908.0,0.0,51362.432,253.235,99.93,14072494.0,7019737.0,55531.855,249.976,8427218.0,2180545.0,33254.876,6543847.0,252.049,12178774.0,2904366.0,48058.995,235,55.64,0,0,0,1,253235.0,253.235,99.93,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Wolfcaza,P-2970caa91e8a550f,110,Hunter,BeastMastery,DPS,296.0,24306202.0,12326911.0,95915.371,248.289,97.98,5172864.0,4518059.0,20412.781,249.976,502154.0,0.0,1981.564,194587.0,218.295,301541.0,0.0,1189.919,188,44.512,0,0,0,1,248289.0,248.289,97.98,19
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Benzd,P-a077801d1f846742,148,Druid,Balance,DPS,310.0,51266712.0,50180349.0,203540.296,251.2,99.73,5472292.0,5240193.0,21726.221,248.005,96842.0,0.0,384.484,0.0,14.847,288742.0,0.0,1146.37,146,34.779,0,0,0,1,251200.0,251.2,99.73,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Chontosh,P-81cad9c290ac9716,104,Paladin,Holy,Healer,307.0,1311318.0,0.0,5206.225,158.788,63.04,5683301.0,4429816.0,22563.974,245.999,39101804.0,30952232.0,155242.894,40860796.0,249.572,63134.0,0.0,250.656,158,37.638,0,0,0,1,158788.0,158.788,63.04,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Demonvini,P-d7a10f6ccf5cf6da,96,DemonHunter,Vengeance,Tank,314.0,12710714.0,0.0,50464.373,250.563,99.48,10931894.0,8046076.0,43402.061,248.256,5393651.0,3683047.0,21413.999,6742133.0,250.52,10968005.0,7545421.0,43545.429,97,23.107,0,5,0,1,250563.0,250.563,99.48,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Dshivà,P-c1f562d9a0fa7104,97,Paladin,Retribution,DPS,318.0,50506373.0,0.0,200521.58,249.212,98.94,7356065.0,6485907.0,29205.221,248.004,2038019.0,1307883.0,8091.391,604031.0,249.036,1446916.0,591520.0,5744.58,246,58.6,0,1,0,1,249212.0,249.212,98.94,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Felphantomxx,P-421b6dd3909d6bc1,107,DemonHunter,Devourer,DPS,300.0,39391854.0,0.0,156394.458,249.479,99.05,5509438.0,5287318.0,21873.699,248.005,2495920.0,2476857.0,9909.36,5029673.0,249.204,2495920.0,2476857.0,9909.36,106,25.251,0,0,0,1,249479.0,249.479,99.05,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Jüggernäut,P-be66c59d02e2496f,224,Druid,Guardian,Tank,302.0,18290153.0,17850445.0,72615.992,250.712,99.54,21803444.0,14450540.0,86564.542,248.807,13189379.0,7717868.0,52364.78,7302932.0,250.006,20526282.0,13173378.0,81493.924,242,57.648,0,0,0,1,250712.0,250.712,99.54,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Khaztharion,P-2109859b4c408483,106,Evoker,Devastation,DPS,296.0,33176189.0,31400064.0,131716.879,249.354,99.0,6103739.0,5353779.0,24233.207,248.005,829438.0,0.0,3293.054,170418.0,247.348,826222.0,0.0,3280.286,122,29.062,0,0,0,1,249354.0,249.354,99.0,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Lightbrood,P-d8fa4f1a84c7e14c,102,Paladin,Retribution,DPS,297.0,25210290.0,0.0,100090.481,248.143,98.52,5388154.0,4015717.0,21392.175,246.0,2233956.0,985104.0,8869.304,732443.0,246.939,1736196.0,430977.0,6893.086,277,65.985,0,0,0,1,248143.0,248.143,98.52,21
